feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
UBA1096 sp002684915,10151.0,0.7788120022737612,0.0192744311868992,-0.6990438679825752,-0.4858384018987121,-1.1595058502834128,-0.5898658261721828,-0.5249064658573958,0.973267867470751
CAG-83 sp002438575,10122.0,0.7476057451218625,0.022076228201536208,-0.6928112036795463,-0.6249263043864858,-1.4803699153769898,-1.2545057154791017,-0.14877619350818985,0.973267867470751
Acidaminococcus fermentans,10587.0,0.7390669993548912,-0.02284913772281527,-0.003972657786334709,-0.15630925030358134,1.307519320549705,0.5398220233410314,5.298155180752134,0.973267867470751
Prevotella sp002451555,10560.0,0.768008026497276,-0.020240568088498057,0.11122438799795495,0.056974583300647544,-0.45354405075502946,-0.5258964356058744,-0.9650827747939192,0.973267867470751
GCA-900066495 sp902362365,10140.0,0.7669300653347351,0.020337181778658064,-0.43786542586393873,-0.35306381326291225,-0.553321440996994,1.1662605063475322,-0.3105585771027582,0.973267867470751
Cupidesulfovibrio vulgaris_A,10580.0,0.7465366820951446,-0.022172841891695994,0.0038577405315296538,-0.06702652841749179,1.5938485124934267,1.5487371578347613,,0.973267867470751
Ventricola intestinavium,10154.0,0.7820616534787967,0.01898459011641951,-0.2807281430344229,-0.1477459239828326,1.3355844931274028,1.380600249574222,-0.9260553762442032,0.973267867470751
Prevotella sp900557255,10580.0,0.7465366820951446,-0.022172841891695994,1.7909271901803863,1.8498546355220318,0.8880717101613431,0.704486023514054,0.04670521992023523,0.973267867470751
Prevotella sp900546535,10131.0,0.7572489372347853,0.021206704990097136,1.7877504166165592,1.8837983571047077,0.6093199414557766,0.9207582097063796,0.0754992067222599,0.973267867470751
CAG-488 sp000434055,10158.0,0.7864004369163669,0.01859813535577992,-0.14318262814960778,-0.010812069135172752,1.5432841281045793,1.5582856363163966,-3.7271420423113453,0.973267867470751
Collinsella ihuae,10144.0,0.771244595453292,0.019950727018018477,-1.0991943132405015,-1.14869376755945,-2.2642298126470415,-2.039016446281174,0.06354779310021191,0.973267867470751
Prevotella multisaccharivorax,10158.0,0.7864004369163669,0.01859813535577992,-0.5172256651490409,-0.5096323681544774,-0.38682182745415084,-0.5230330858247125,-0.021336954604469046,0.973267867470751
HGM11417 sp900761895,10558.0,0.7701652935200478,-0.020047340708178263,-1.136851864179817,-1.255138638458321,-2.4004541959686225,-2.3681901345752756,0.14280245020611007,0.973267867470751
Streptococcus sp001937065,10172.0,0.8016376466967006,0.017245543693541365,-0.43646980146382974,-0.24178460029012924,-0.08925303949321339,1.465456440077677,-0.8521594829857874,0.9771164333628976
Phascolarctobacterium_A succinatutens_A,10169.0,0.7983659568202972,0.017535384764021056,0.5368703125724298,0.6754415798697483,1.5157942939134763,1.7257571320115073,0.33125736306293097,0.9771164333628976
Duncaniella sp910578445,10526.0,0.8049128186686192,-0.016955702623061786,-0.1689249561879,-0.19983196859218438,1.4809880093513819,1.5536896784161254,0.24240492052376392,0.9771164333628976
CAG-177 sp002451755,10524.0,0.8070981739577533,-0.016762475242741992,0.3143308432590052,0.18945003106613786,1.4809880093513819,1.2304988820200755,-0.7304664619988841,0.9771164333628976
Desulfovibrio desulfuricans_A,10533.0,0.797276176819802,-0.017631998454181064,0.370699673288795,0.2803818262310416,1.666382549297328,1.6409298441596931,-0.40285800252787224,0.9771164333628976
Victivallis lenta,10166.0,0.7950978039302244,0.017825225834500746,0.355710838975985,0.6156745971180101,1.6910180271121114,1.6634602301552697,0.7914631062436274,0.9771164333628976
Gemmiger qucibialis,10529.0,0.8016376466967006,-0.017245543693541476,3.2652851859137653,3.2635395702933865,3.6520595212543574,3.5938501484808416,-0.0007714684195386588,0.9771164333628976
Butyricicoccus avistercoris,10174.0,0.803820711174375,0.01705231631322157,-0.3946977725708042,-0.20212964922613447,1.4742641255775712,1.5582856363163966,-0.9654674232516,0.9771164333628976
Protoclostridium sp900761765,10177.0,0.8070981739577533,0.01676247524274188,-0.003406192079648221,0.050419027184408494,1.5157942939134763,1.6137142138810976,,0.9771164333628976
Scatomorpha intestinavium,10197.0,0.8290318816514494,0.014830201439543944,-0.6247552394991718,-0.571684718004903,0.14884390528504277,-0.601466182765849,-0.128071370342599,0.9799431225194437
Scatavimonas sp900540275,10192.0,0.8235352308528974,0.015313269890343428,-0.8483835814296052,-0.688710180439276,-1.9001858673455914,-1.3432964833871335,-0.30081969844171724,0.9799431225194437
CAG-177 sp003538135,10183.0,0.8136632147652351,0.0161827931017825,-0.30917008782162403,-0.25515889479931037,-0.5236847612946249,-0.9215407168533662,-0.2770048116626028,0.9799431225194437
Faecousia sp000434635,10505.0,0.8279318725175101,-0.014926815129703952,-0.19073686008198118,-0.23678167426583235,-0.9699447921954008,-0.8812344919201198,0.311973756475033,0.9799431225194437
Actinomyces gerencseriae,10520.0,0.8114733884218,-0.016376020482102405,-0.7702545088536773,-0.7271112683406735,-1.5052833467393611,-1.0852001056582417,-0.08315906884109114,0.9799431225194437
HGM12669 sp900761935,10507.0,0.8257328685411331,-0.015120042510023746,-0.0045179381072915515,0.031095451506794908,1.5157942939134763,1.598177869900356,,0.9799431225194437
CAG-103 sp000432375,10190.0,0.8213389761040208,0.015506497270663222,0.47787187133523484,0.5303180073351144,0.9679420813521258,0.7181980019844136,0.15023388712239177,0.9799431225194437
Caccenecus sp017888105,10504.0,0.8290318816514494,-0.014830201439544055,0.14369835824038718,0.16454373051862797,1.5931106426629462,1.6513532498256822,0.1954274773145241,0.9799431225194437
Anaerostipes caccae,10504.0,0.8290318816514494,-0.014830201439544055,-0.2872658249598862,-0.336631197173485,-0.7261022315297545,-0.5458522942597774,0.22878251429018362,0.9799431225194437
Agathobacter sp900317585,10505.0,0.8279318725175101,-0.014926815129703952,2.6725656303391525,2.744179785146714,3.516022624930387,3.8161863749629887,0.03814962614680545,0.9799431225194437
Escherichia marmotae,10200.0,0.8323339125695324,0.014540360369064254,0.20837131605715828,0.27056640492432465,0.20338968103989608,0.19813297611429093,0.37682602253924874,0.9815258402942599
UBA9506 sp003506415,10206.0,0.8389468017008751,0.013960678228104872,-0.954455570599605,-0.912563928830409,-1.9610552163948043,-1.4474121033875527,-0.06475241347264174,0.9869962372951472
Klebsiella africana,10223.0,0.8577436662997168,0.012318245495386737,0.09224974567149774,0.1086433185567384,0.4506722227942994,1.1662605063475322,0.2359826119027704,0.9881839473499041
