met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full
Deoxycytidine,dcyt,adiacens,Other,Advanced_CRC,35.00261435513167,14.781262713780121,2,Granulicatella adiacens
Lactate,lac_L,limosum,Other,Advanced_CRC,34.96453032194899,,1,Eubacterium limosum
Serine,ser_L,lutetiensis,Other,Advanced_CRC,34.96226000313413,,1,Streptococcus lutetiensis
Adenosine,adn,faecis,Other,Advanced_CRC,34.946497215115315,25.065664678793862,7,faecis
Deoxycytidine,dcyt,atypica,Other,Advanced_CRC,34.93151987883884,,1,Veillonella atypica
Asparagine,asn_L,hansenii,Other,Advanced_CRC,34.891218145330015,,1,Blautia hansenii
Glutamine,gln_L,albertii,Amino Acid,Advanced_CRC,34.891206060553706,27.552281208912834,5,Escherichia albertii
Tetrahydrofolate,thf,breve,Other,Advanced_CRC,34.88914814933139,26.329459976251254,5,Bifidobacterium breve
Indole,indole,ovatus,Other,Advanced_CRC,34.88035569335019,24.591074890502068,3,Bacteroides ovatus
Hydrogen Sulfide,h2s,uniformis,Other,Advanced_CRC,34.86898730150249,26.611053594734337,115,Bacteroides uniformis
Propionate,ppa,fluxus,SCFA,Advanced_CRC,34.82957582364089,26.447614833135834,8,Bacteroides fluxus
Serine,ser_L,clara,Other,Advanced_CRC,34.82229518534215,18.21380590028782,14,Paraprevotella clara
D-Lactate,lac_D,goldsteinii,Other,Advanced_CRC,34.7992103270692,32.75032638604348,11,Parabacteroides goldsteinii
Glutamine,gln_L,piscolens,Amino Acid,Advanced_CRC,34.78798737379755,32.43948747218164,3,Pyramidobacter piscolens
Proton,h,catenulatum,Other,Advanced_CRC,34.73277740567566,35.114525791182096,9,Bifidobacterium catenulatum
CO2,co2,oleiciplenus,Other,Advanced_CRC,34.72323715183642,22.734003072692207,22,Bacteroides oleiciplenus
Alanine,ala_L,morbillorum,Amino Acid,Advanced_CRC,34.696485467463035,21.909370545061403,9,Gemella morbillorum
CO2,co2,lutetiensis,Other,Advanced_CRC,34.61538461538464,,1,Streptococcus lutetiensis
Lysine,lys_L,plautii,Amino Acid,Advanced_CRC,34.61451643129353,25.44966187934911,8,Flavonifractor plautii
Proton,h,evryensis,Other,Advanced_CRC,34.6081803798305,13.354691680562816,4,Cloacibacillus evryensis
Proline,pro_L,xylanisolvens,Amino Acid,Advanced_CRC,34.59096958036999,22.964934326487626,19,Bacteroides xylanisolvens
Ethanol,etoh,succinatiphilus,Other,Advanced_CRC,34.58928098384164,7.452492976258998,4,Dialister succinatiphilus
D-Lactate,lac_D,eggerthii,Other,Advanced_CRC,34.58678629125665,33.47012139950922,15,Bacteroides eggerthii
Phenylalanine,phe_L,putredinis,Other,Advanced_CRC,34.583171288487314,36.569943013299635,23,Alistipes putredinis
Cytidine,cytd,fragilis,Other,Advanced_CRC,34.57856466380596,22.75224435717677,20,fragilis
Acetate,ac,virosa,SCFA,Advanced_CRC,34.573215636577046,32.03509477654847,7,Butyricimonas virosa
Glucose,glc_D,mutans,Other,Advanced_CRC,34.56162637740386,35.81404233229238,4,Streptococcus mutans
Ethanol,etoh,adolescentis,Other,Advanced_CRC,34.55765614656472,26.078832649039267,15,Bifidobacterium adolescentis
Water,h2o,inulinivorans,Other,Advanced_CRC,34.54411154454182,29.405324987247315,42,Roseburia inulinivorans
Uracil,ura,uli,Other,Advanced_CRC,34.540128972032115,,1,Olsenella uli
Ribose,rib_D,longum,Other,Advanced_CRC,34.535305209635744,23.984191960221178,12,longum
Phenylalanine,phe_L,wadsworthia,Other,Advanced_CRC,34.53462902340359,26.37710285838689,15,Bilophila wadsworthia
Alanine,ala_L,oxytoca,Amino Acid,Advanced_CRC,34.53057489873686,,1,Klebsiella oxytoca
