epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
sp014287795,,,,,Christensenella,Christensenella sp014287795,0.0060285116145378,SVR,Leucine,C00123,Christensenella sp014287795,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0132402142036915,SVR,Leucine,C00123,CCUG-7971 sp017590215,False
sp900539345,,,,,UMGS124,UMGS124 sp900539345,0.0064438965868285,SVR,Leucine,C00123,UMGS124 sp900539345,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0095462390506801,SVR,Leucine,C00123,Aphodousia sp905212345,False
sp905213155,,,,,Acidaminococcus,Acidaminococcus sp905213155,0.0057018144157028,SVR,Leucine,C00123,Acidaminococcus sp905213155,False
albertii,Escherichia albertii,37.92023830026806,Other,Escherichia,,,,,GABA,C00334,Escherichia albertii,False
avistercoris,,,,,Alistipes,Alistipes avistercoris,0.0042892476759578,SVR,GABA,C00334,Alistipes avistercoris,True
bifidum,,,,,Bifidobacterium,Bifidobacterium bifidum,0.0054417716039056,SVR,GABA,C00334,Bifidobacterium bifidum,False
caecorum,,,,,Avimicrobium,Avimicrobium caecorum,0.010634012749668,SVR,GABA,C00334,Avimicrobium caecorum,False
faecium,,,,,Avispirillum,Avispirillum faecium,0.0061929431399669,SVR,GABA,C00334,Avispirillum faecium,False
fergusonii,Escherichia fergusonii,44.0413755786008,Other,Escherichia,,,,,GABA,C00334,Escherichia fergusonii,False
freundii,Citrobacter freundii,2.1602615822534306,Other,Citrobacter,,,,,GABA,C00334,Citrobacter freundii,False
gallinarii,,,,,Alangreenwoodia,Alangreenwoodia gallinarii,0.0065886306173768,SVR,GABA,C00334,Alangreenwoodia gallinarii,False
guamensis,Trabulsiella guamensis,69.73293768545994,Other,Trabulsiella,,,,,GABA,C00334,Trabulsiella guamensis,False
hongkongensis,,,,,Streptobacillus,Streptobacillus hongkongensis,0.0067509905971429,SVR,GABA,C00334,Streptobacillus hongkongensis,False
intestinavium,,,,,Duodenibacillus,Duodenibacillus intestinavium,0.0063499929587953,SVR,GABA,C00334,Duodenibacillus intestinavium,False
intestinihominis,Barnesiella intestinihominis,11.89108214818033,Other,Barnesiella,,,,,GABA,C00334,Barnesiella intestinihominis,False
leptum,,,,,Clostridium_A,Clostridium_A leptum,0.0108000823473011,SVR,GABA,C00334,Clostridium_A leptum,False
medium,Treponema medium,0.08035669636077573,Other,Treponema,,,,,GABA,C00334,Treponema medium,False
onderdonkii,Alistipes onderdonkii,46.96202997817171,Other,Alistipes,,,,,GABA,C00334,Alistipes onderdonkii,True
ovatus,Bacteroides ovatus,61.980949600194116,Other,Bacteroides,,,,,GABA,C00334,Bacteroides ovatus,False
parvula_A,,,,,Veillonella,Veillonella parvula_A,0.0154951124036779,SVR,GABA,C00334,Veillonella parvula_A,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0123716717215274,SVR,GABA,C00334,Lachnospira sp000436475,False
sp002350855,,,,,UBA3839,UBA3839 sp002350855,0.0042962937254738,SVR,GABA,C00334,UBA3839 sp002350855,False
