feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Romboutsia_D lituseburensis,3487.0,0.6927473544093823,0.03660726619698851,-0.525164052577678,-0.5208801050589783,0.5374682766226435,-1.299663112722378,-0.011816832703846786,0.9714815461665754
Parolsenella sp900552935,3494.0,0.7082736633660571,0.03467329741677028,-0.31669441492930284,-0.4361840511457204,1.307519320549705,1.4688253229764072,0.4618455958466087,0.9714815461665754
Egerieicola pullicola,3476.0,0.6686096904627374,0.03964635999447441,-0.9928753837348494,-1.0507592648195303,-1.9698421906732122,-1.761760689365115,0.08174761636310549,0.9714815461665754
UBA10677 sp900543755,3754.0,0.6883345289371358,-0.03715982870562229,-1.0060032668460095,-1.3125230340331258,-2.102771662183775,-2.4269863373469054,0.3837077517250288,0.9714815461665754
Collinsella bouchesdurhonensis,3740.0,0.7194390492364203,-0.033291891145185826,-0.5685863531646658,-0.8642948897055153,-1.5391932145700356,-1.7930321861206107,0.6041441591115151,0.9714815461665754
51-20 sp001917175,3524.0,0.7761241887698178,0.02638485978726346,0.3751817532443149,0.2832855972216289,1.4742641255775712,1.5600992833202305,-0.40533240942026,0.9714815461665754
Mitsuokella multacida,3471.0,0.6577484255434132,0.04102776626605886,0.6091313580857411,0.9025520274047488,1.6751244102578315,1.7100959998775505,0.5672567211696683,0.9714815461665754
Fimisoma sp000435715,3472.0,0.6599149986687809,0.04075148501174197,-0.5340511092085831,-0.29127671783838854,-1.1708279160561652,-1.2746699939062331,-0.874587428660867,0.9714815461665754
Butyrivibrio_A sp900771195,3506.0,0.7351712143614217,0.03135792236496748,-0.9653652670252832,-0.9268665817664582,-2.145973165064097,-1.799094640166624,-0.05871323650818901,0.9714815461665754
Paraclostridium tenue,3722.0,0.7601168829505369,-0.028318828567481802,-0.43473772047281783,-0.5874343766723604,1.0551448833206383,1.2883084784647796,0.43428241755025787,0.9714815461665754
UBA3379 sp002359025,3494.0,0.7082736633660571,0.03467329741677028,-1.2852373300912403,-1.2315382629455838,-2.083353576326674,-2.4126533692820686,-0.06157333811832203,0.9714815461665754
Aveggerthella stercoripullorum,3713.0,0.7807155594228868,-0.025832297278629568,0.24830437950324127,0.01979391542412538,1.6644395706203952,1.6634807935261762,-3.648980715915709,0.9714815461665754
CCUG-7971 spG000499525,3725.0,0.7532874885743595,-0.029147672330432473,-0.7321060526170957,-0.92105382266043,-0.9754582689743305,-2.3693264447112377,0.33123281251994996,0.9714815461665754
Dialister sp900543455,3713.0,0.7807155594228868,-0.025832297278629568,-0.897752719514604,-1.1773265402355442,-1.8103339610984914,-1.7680353010591592,0.3911244951254077,0.9714815461665754
Prevotella stercorea,3757.0,0.6817351774834717,-0.03798867246857296,2.2012143252564917,2.2782952692595075,2.109980579201828,1.8104729828743764,0.04965511109834478,0.9714815461665754
HGM11417 sp900761895,3510.0,0.7442116576894982,0.030252797347699922,-1.136851864179817,-1.238561775921468,-2.4004541959686225,-2.486179366680556,0.1236215497797016,0.9714815461665754
Lactococcus_A plantarum,3743.0,0.7127324556328319,-0.034120734908136496,0.1812819846728031,-0.09627978298611314,1.6644395706203952,1.7095811888887216,,0.9714815461665754
Collinsella sp900555555,3473.0,0.6620844274598048,0.04047520375742508,0.03883943914869956,-0.010350241448191218,1.5765837242994447,1.5600992833202305,,0.9714815461665754
CAG-83 sp002438575,3465.0,0.6448098259204951,0.042685453791960204,-0.6928112036795463,-0.587937243289772,-1.4803699153769898,-1.2542303142130393,-0.23680009162206075,0.9714815461665754
Parasutterella excrementihominis,3711.0,0.7853145886320785,-0.025279734769995788,1.1648752310353558,0.8091924611220118,1.7201666761513863,1.6654971683749302,-0.5256206524234245,0.9719239958317802
Eubacterium_G ventriosum,3710.0,0.7876169276215541,-0.025003453515678897,2.739462560302866,2.618768289671164,3.3207622850252676,2.7926568684956514,-0.06500447198848808,0.9723665773105605
Christensenella sp014287795,3531.0,0.7922271587908118,0.024450891007045117,-1.0914247864355542,-1.008110184901974,-2.3204039120664834,-1.5296179395215521,-0.11455938132689844,0.975649210333512
Paenibacillus_C intestinavium,3533.0,0.7968446662083366,0.023898328498411336,-0.5413992836308336,-0.42698754793927346,1.307519320549705,1.5440034744352698,-0.3424989815794596,0.9789246513615929
Mailhella sp905192935,3564.0,0.8692294930891438,0.015333609614587629,-0.3898499822019774,-0.48171655497145255,1.3287649897945712,1.221698232596065,0.30526543737265366,0.9798124456587263
Prevotella sp900543975,3558.0,0.8551136882600343,0.01699129714048897,0.14924350979746923,0.006713524683295353,0.8940168472451493,1.3761769187870083,-4.474453780415689,0.9798124456587263
Bacillus_T coahuilensis,3691.0,0.831692210214575,-0.019754109683657983,-0.0770475409316409,-0.15826851196874553,1.2080218160411125,1.3761769187870083,1.038553447622665,0.9798124456587263
UBA3839 sp002393575,3551.0,0.8387039690465039,0.018925265920707313,-0.43775187365299645,-0.494022051844659,0.5374682766226435,-0.5897798876016136,0.17446208807974029,0.9798124456587263
Acidaminococcus sp900315205,3544.0,0.8223640887253901,0.020859234700925544,-1.0475729437015462,-0.8794198832062582,-2.2134283114526347,-1.684051705037799,-0.2524266476065989,0.9798124456587263
Slackia_A piriformis,3551.0,0.8387039690465039,0.018925265920707313,-0.457544301854306,-0.4640778075407773,1.3287649897945712,1.2212338860657663,0.02045526921315957,0.9798124456587263
RUG013 sp001486445,3679.0,0.8598140385948705,-0.0164387346318553,0.2011831432681703,-0.09900995404020578,1.666382549297328,1.6634807935261762,,0.9798124456587263
CCUG-7971 sp017590215,3571.0,0.8857504508754885,0.013399640834369397,-1.0580136313112611,-0.994085711364746,-1.8309600085150795,-1.9339811582567705,-0.08991606184783103,0.9798124456587263
UBA4334 sp902801475,3688.0,0.8387039690465039,-0.018925265920707313,-0.11554192931393979,-0.40233149083837105,1.5157942939134763,1.4688253229764072,1.7999681822399183,0.9798124456587263
Protoclostridium sp900761765,3703.0,0.8037842326206289,-0.023069484735460666,-0.003406192079648221,-0.3544380313072215,1.5157942939134763,1.4688253229764072,6.701230230285057,0.9798124456587263
Aveggerthella excrementigallinarum,3553.0,0.843385635502376,0.018372703412073532,-0.22448581615846827,-0.3245594492693583,1.5669644224606163,1.5440034744352698,0.531858468540545,0.9798124456587263
Megasphaera massiliensis,3567.0,0.876303348274191,0.014504765851636958,0.05325974739885756,0.045498996612383505,1.4127107791062343,1.5600992833202305,-0.22721085154424822,0.9798124456587263
Ellagibacter isourolithinifaciens,3557.0,0.852765428734955,0.01726757839480586,-0.3498931052799831,-0.39601922150852453,-0.0947932160827829,-0.7841985269834773,0.1786562200581737,0.9798124456587263
CAG-313 sp900539265,3692.0,0.8293579016811744,-0.020030390937974873,0.27274478799806096,-0.19052699454516722,1.6154717246871826,1.587770664349227,,0.9798124456587263
Faecalibacillus intestinalis,3680.0,0.8574632316674974,-0.01671501588617219,1.2935026769646025,1.3590146767433497,0.10078720874894209,0.183848176205764,0.07127799683811747,0.9798124456587263
Galloscillospira_B excrementipullorum,3566.0,0.8739442696120737,0.014781047105953848,-0.437573712063514,-0.7105292994211244,1.3988008409916315,-1.6199126965731718,0.6993680744694846,0.9798124456587263
