Polyamine,KEGG,Species,Interaction_coef,Interaction_pval,N,Interaction_qval
Spermidine,C00315,Agathobaculum butyriciproducens,-0.021746902757537143,0.11077581386056409,347,0.9873954788693271
Spermidine,C00315,Odoribacter laneus,0.016705109828615974,0.2286756055133966,347,0.9873954788693271
Spermidine,C00315,Ruminococcus_C sp000980705,-0.011230229533765769,0.4089805177293737,347,0.9873954788693271
Spermidine,C00315,Clostridium saudiense,-0.014170692961116237,0.2930880843226462,347,0.9873954788693271
Spermidine,C00315,Faecalibacterium prausnitzii_E,0.007312082787939957,0.6017910493933134,347,0.9873954788693271
Spermidine,C00315,Ruminococcus_C callidus,-0.01344832240360923,0.32186645971400724,347,0.9873954788693271
Spermidine,C00315,Megasphaera sp000417505,-0.0026514620301051743,0.8285199503120816,347,0.9873954788693271
Spermidine,C00315,Clostridium_Q symbiosum,-0.01688660902982125,0.22980995380655755,347,0.9873954788693271
Spermine,C00750,Lachnospira eligens_A,-0.0019739652122600423,0.8385085840760786,347,0.9873954788693271
Spermine,C00750,Phocaeicola plebeius_A,0.0010867065652845865,0.8738415217840165,347,0.9873954788693271
Spermine,C00750,Prevotella sp900551275,-0.009356123411985273,0.162723510930586,347,0.9873954788693271
Spermine,C00750,Prevotella sp015074785,-0.009901157622416707,0.14341404226980334,347,0.9873954788693271
Spermine,C00750,Prevotella copri,-0.009952296012411531,0.15992832098544243,347,0.9873954788693271
Spermine,C00750,Megamonas funiformis,0.002864124949567763,0.7113880001031364,347,0.9873954788693271
Spermine,C00750,Prevotella copri_A,-0.013893921538983554,0.06473419664945722,347,0.9873954788693271
Spermine,C00750,Escherichia coli,-0.006052150381277178,0.44601493948017645,347,0.9873954788693271
Spermine,C00750,Fimenecus sp000432435,-0.0028472438315929986,0.73101770018507,347,0.9873954788693271
Spermine,C00750,Agathobacter rectalis,0.0008482758373571303,0.9141238223789865,347,0.9873954788693271
Spermine,C00750,Bacteroides stercoris,0.011219746232970677,0.15509118796213248,347,0.9873954788693271
Spermine,C00750,Sutterella wadsworthensis,0.007467208743066422,0.36722410192739363,347,0.9873954788693271
Spermine,C00750,Alistipes putredinis,-0.0025555158267826007,0.7631074223240885,347,0.9873954788693271
Spermine,C00750,Prevotella sp000434975,-0.0026530634910535405,0.7641694164607888,347,0.9873954788693271
Spermine,C00750,Phascolarctobacterium_A succinatutens,-0.005013120347874583,0.5428203485964072,347,0.9873954788693271
Spermine,C00750,Fusobacterium_A mortiferum,-0.010188910405234782,0.23408764976318902,347,0.9873954788693271
Spermine,C00750,Prevotella sp900313215,-0.0014701409674917063,0.8785880495006964,347,0.9873954788693271
Spermine,C00750,Phocaeicola coprocola,0.008302175554174363,0.3246308807730304,347,0.9873954788693271
Spermine,C00750,Ruminococcus_D bicirculans,-0.014494314488902633,0.08651308971462125,347,0.9873954788693271
Spermine,C00750,Lachnospira rogosae_A,-0.019042379972606046,0.0204389911165981,347,0.9873954788693271
Spermine,C00750,Prevotella sp900546535,-0.012774784808950276,0.12333257633291626,347,0.9873954788693271
Spermine,C00750,Prevotella sp900767615,-0.013239238247901774,0.11461129563550522,347,0.9873954788693271
Spermine,C00750,Ruminococcus_B gnavus,-0.001696781958116659,0.8452884697364431,347,0.9873954788693271
Spermine,C00750,Agathobacter faecis,-0.011914550730340322,0.17038350611943942,347,0.9873954788693271
Spermine,C00750,Roseburia inulinivorans,-0.01332374526244055,0.13656586906690707,347,0.9873954788693271
Spermine,C00750,Gemmiger formicilis,0.0029133138063564636,0.751674818104874,347,0.9873954788693271
Spermine,C00750,Bacteroides fragilis,0.0010076769027017268,0.9094918172396678,347,0.9873954788693271
Spermine,C00750,Phascolarctobacterium faecium,0.001640014637324532,0.8621478708510679,347,0.9873954788693271
Spermine,C00750,Faecalibacterium prausnitzii_C,0.0009792459396900709,0.9157091873947174,347,0.9873954788693271
Spermine,C00750,Prevotella hominis,-0.008648484146499498,0.3321206850155981,347,0.9873954788693271
Spermine,C00750,Alistipes onderdonkii,0.014772058244239713,0.1355442514205686,347,0.9873954788693271
Spermine,C00750,Prevotella sp900556795,-0.013195122476571699,0.19611929637188744,347,0.9873954788693271
Spermine,C00750,Lachnospira sp000437735,0.02208823574506706,0.019832568630783746,347,0.9873954788693271
Spermine,C00750,Bacteroides caccae,-0.004398735057533659,0.6409041594569678,347,0.9873954788693271
Spermine,C00750,Sutterella wadsworthensis_A,-0.01844814558501411,0.0543755889734857,347,0.9873954788693271
Spermine,C00750,Bifidobacterium adolescentis,0.006896160516800167,0.46294339947590946,347,0.9873954788693271
Spermine,C00750,Prevotella stercorea,0.0038486546197999097,0.7066772880952099,347,0.9873954788693271
Spermine,C00750,Parabacteroides merdae,0.0036484732713911393,0.7064705615139815,347,0.9873954788693271
Spermine,C00750,Mediterraneibacter faecis,0.009130582894867997,0.3519429144432673,347,0.9873954788693271
Spermine,C00750,Enterocloster sp000431375,0.002342198192244247,0.8035516683081567,347,0.9873954788693271
Spermine,C00750,Phocaeicola vulgatus,0.010976489978354612,0.23514479834532817,347,0.9873954788693271
Spermine,C00750,Phocaeicola massiliensis,0.004843175739041471,0.6178054667340629,347,0.9873954788693271
Spermine,C00750,Roseburia intestinalis,-0.004610999798114998,0.628143537731167,347,0.9873954788693271
Spermine,C00750,Phocaeicola plebeius,0.0028375389589201327,0.7757978866107631,347,0.9873954788693271
Spermine,C00750,Ruminococcus_E bromii_B,0.005942302164632736,0.5552679383012392,347,0.9873954788693271
Spermine,C00750,Enterocloster sp001517625,-0.002597316115917666,0.7959182844970909,347,0.9873954788693271
Spermine,C00750,Akkermansia muciniphila,0.009493878169319164,0.4279196463476561,347,0.9873954788693271
Spermine,C00750,Faecalibacterium prausnitzii_G,-0.010904768555304334,0.26969050198975436,347,0.9873954788693271
Spermine,C00750,Prevotella sp900544825,-0.019571801390515453,0.046095954548951046,347,0.9873954788693271
Spermine,C00750,Acetatifactor sp900066565,-0.0014238763190980812,0.8865824844565016,347,0.9873954788693271
Spermine,C00750,Agathobacter sp900317585,0.002390002740328433,0.812143580703671,347,0.9873954788693271
Spermine,C00750,Fusicatenibacter saccharivorans,-0.005626469654937765,0.5900201644297147,347,0.9873954788693271
Spermine,C00750,Faecalibacterium prausnitzii_D,-0.013193465156679915,0.1901929638012101,347,0.9873954788693271
Spermine,C00750,Bifidobacterium longum,0.009556820569790373,0.3588535652978113,347,0.9873954788693271
Spermine,C00750,Bifidobacterium pseudocatenulatum,-0.006792280013596559,0.5137940062921347,347,0.9873954788693271
Spermine,C00750,Prevotella sp900551985,-0.018459985424870203,0.06616226243258555,347,0.9873954788693271
Spermine,C00750,Dialister invisus,-0.0022744622966039494,0.8222284198452733,347,0.9873954788693271
Spermine,C00750,Prevotella sp900770515,-0.014487214449387139,0.15051005145592516,347,0.9873954788693271
Spermine,C00750,Bilophila wadsworthia,0.0018039032464044506,0.8810671407205795,347,0.9873954788693271
Spermine,C00750,Prevotella sp900557035,-0.020403297361263152,0.0448024478198555,347,0.9873954788693271
Spermine,C00750,Acetatifactor intestinalis,-0.007268314767509738,0.4968344591131283,347,0.9873954788693271
Spermine,C00750,Gemmiger qucibialis,0.0028888179134056147,0.7807451168180478,347,0.9873954788693271
Spermine,C00750,Alistipes shahii,-0.007126819290349735,0.4998173884471886,347,0.9873954788693271
Spermine,C00750,Clostridium_Q fessum,-0.009489365305150831,0.36582584119133665,347,0.9873954788693271
Spermine,C00750,Ruminiclostridium_E siraeum,-0.001443349371527986,0.8981490314726871,347,0.9873954788693271
Spermine,C00750,Mediterraneibacter torques,-0.003021161541633244,0.7790169099427153,347,0.9873954788693271
Spermine,C00750,Faecalibacterium sp900539945,-0.008484507638408962,0.4279873186876568,347,0.9873954788693271
Spermine,C00750,Alloprevotella timonensis,-0.016814022187337192,0.12497081820244482,347,0.9873954788693271
Spermine,C00750,CAG-41 sp900066215,-0.007051384004813061,0.5144636642369176,347,0.9873954788693271
Spermine,C00750,Ruminococcus_E bromii,0.007319181025303733,0.5100876690439459,347,0.9873954788693271
Spermine,C00750,Agathobacter sp900546625,0.0022783708627147365,0.8345492944631154,347,0.9873954788693271
Spermine,C00750,Anaerostipes hadrus,-0.0013388102907252468,0.9020028448184707,347,0.9873954788693271
Spermine,C00750,Prevotella sp900544495,-0.007716667817121495,0.52355595785099,347,0.9873954788693271
Spermine,C00750,Eubacterium_G ventriosum,0.0012175566842940332,0.9138363467061131,347,0.9873954788693271
Spermine,C00750,Bacteroides thetaiotaomicron,-0.00804954353334111,0.47254626319876136,347,0.9873954788693271
Spermine,C00750,Enterocloster bolteae,0.011005786182581575,0.33392851404167734,347,0.9873954788693271
Spermine,C00750,Faecalimonas umbilicata,0.007110950799498106,0.5131627775541997,347,0.9873954788693271
Spermine,C00750,Prevotella sp900555035,-0.016689568307599437,0.13286117608145384,347,0.9873954788693271
Spermine,C00750,Anaerotignum faecicola,0.013471587607261755,0.2491800785495748,347,0.9873954788693271
Spermine,C00750,Prevotella sp900554835,-0.010830898209647818,0.3236745520854857,347,0.9873954788693271
Spermine,C00750,Blautia_A obeum,0.0022504513990736453,0.8465233548683935,347,0.9873954788693271
Spermine,C00750,Prevotella pectinovora,-0.005685595531651635,0.611106384185681,347,0.9873954788693271
Spermine,C00750,UBA11524 sp000437595,0.0036099999725203186,0.7603481453707743,347,0.9873954788693271
Spermine,C00750,Erysipelatoclostridium ramosum,0.02606613355990317,0.021700746439778457,347,0.9873954788693271
Spermine,C00750,Lachnospira sp003451515,-0.006640359452915668,0.5820757567610715,347,0.9873954788693271
Spermine,C00750,Escherichia sp002965065,-0.01585050666611503,0.20635907235815293,347,0.9873954788693271
Spermine,C00750,Faecalibacterium prausnitzii,-0.018075836290281342,0.12466052991784161,347,0.9873954788693271
Spermine,C00750,Faecalimonas phoceensis,-0.00656205890955612,0.5781732289868846,347,0.9873954788693271
Spermine,C00750,Prevotella sp900290275,-0.012669259453832465,0.3203260776259489,347,0.9873954788693271
Spermine,C00750,Streptococcus salivarius,-0.0033985498248274883,0.781409959989064,347,0.9873954788693271
Spermine,C00750,Odoribacter splanchnicus,0.014390913560187037,0.23719266869722175,347,0.9873954788693271
Spermine,C00750,Prevotella sp900548535,-0.01360281403977033,0.2468300946726534,347,0.9873954788693271
Spermine,C00750,Lachnospira sp000436475,-0.01196700638140969,0.3006040291374267,347,0.9873954788693271
Spermine,C00750,Faecalibacillus intestinalis,-0.015080130034254501,0.21584050214775244,347,0.9873954788693271
Spermine,C00750,CAG-83 sp001916855,0.004023238337854524,0.7496455540021891,347,0.9873954788693271
Spermine,C00750,Mediterraneibacter lactaris,0.025384572586319806,0.041444654349737785,347,0.9873954788693271
Spermine,C00750,Limisoma sp000437795,0.003940367770416844,0.753434952067978,347,0.9873954788693271
Spermine,C00750,Dorea_A longicatena,0.002282566035009503,0.8523276461962728,347,0.9873954788693271
Spermine,C00750,Dorea_A longicatena_B,-0.008647704860910254,0.4862089267125157,347,0.9873954788693271
Spermine,C00750,Bacteroides rodentium,-0.0016927082991702773,0.8854043050608396,347,0.9873954788693271
Spermine,C00750,Prevotella sp002265625,-0.01108315394077892,0.36196131443574886,347,0.9873954788693271
Spermine,C00750,UBA1417 sp003531055,0.015185273319279918,0.241810338484423,347,0.9873954788693271
Spermine,C00750,Bacteroides ovatus,0.009537865717511983,0.4310921030559768,347,0.9873954788693271
Spermine,C00750,Holdemanella porci,-0.004059747540490092,0.7433651275348315,347,0.9873954788693271
Spermine,C00750,Escherichia fergusonii,-0.016140027825625784,0.22438946206385837,347,0.9873954788693271
Spermine,C00750,Klebsiella pneumoniae,-0.03001254289554402,0.02258455546071866,347,0.9873954788693271
Spermine,C00750,Gemmiger sp900540595,-0.009537484515896852,0.458893121863197,347,0.9873954788693271
Spermine,C00750,Clostridium_A leptum,-0.00851131704413268,0.5260401921974094,347,0.9873954788693271
Spermine,C00750,Phocaeicola coprophilus,0.006838098761607441,0.5782834187149677,347,0.9873954788693271
Spermine,C00750,Blautia_A caecimuris,0.004577209572125852,0.7018156469235073,347,0.9873954788693271
Spermine,C00750,Escherichia sp004211955,-0.018314758614929573,0.17681687050184655,347,0.9873954788693271
Spermine,C00750,Dysosmobacter sp001916835,-0.0026000997384521126,0.8425051757358891,347,0.9873954788693271
