met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full
2obut,2obut,kashiwanohense,Other,95.83113715058032,,1,Bifidobacterium kashiwanohense
Hydrogen Sulfide,h2s,rohdei,Other,95.80831272753454,,1,Yersinia rohdei
Guanine,gua,denticola,Other,95.77908128972807,0.8329771060702357,11,Prevotella denticola
Formate,for,prausnitzii,Other,95.72518664622002,,1,Faecalibacterium prausnitzii
Phenylalanine,phe_L,mucilaginosa,Other,95.69942325835662,1.372444807076804,3,Rothia mucilaginosa
CO2,co2,butyricum,Other,95.69816339629526,,1,Clostridium butyricum
D-Alanine,ala_D,mucilaginosa,Other,95.68415185951638,2.904931296099015,7,Rothia mucilaginosa
Lysine,lys_L,bryantii,Amino Acid,95.57164423231129,,1,Prevotella bryantii
Uridine,uri,buccae,Other,95.55233114046223,3.1199232893607696,8,Prevotella buccae
Indole,indole,intermedia,Other,95.51480582969407,6.287214115441671,4,Kluyvera intermedia
Adenine,ade,extructa,Other,95.50241126795359,3.3353856780585898,2,Bulleidia extructa
R-Acetoin,actn_R,infantarius,Other,95.45454545454545,,1,Streptococcus infantarius
Adenine,ade,enoeca,Other,95.41220703844964,,1,Prevotella enoeca
Isoleucine,ile_L,desulfuricans,Amino Acid,95.39724550906014,,1,Desulfovibrio desulfuricans
Isoleucine,ile_L,rohdei,Amino Acid,95.3556591660226,,1,Yersinia rohdei
Glycine,gly,evryensis,Amino Acid,95.33509595463158,1.1037126928737826,3,Cloacibacillus evryensis
Hydrogen Sulfide,h2s,marcescens,Other,95.32815950890952,,1,Serratia marcescens
Uridine,uri,bivia,Other,95.27565605855054,2.6437096529031052,13,Prevotella bivia
isobut,isobut,virosa,Other,95.24642123235714,,1,Butyricimonas virosa
Uridine,uri,forsythia,Other,95.20637063322177,0.18150752099409634,2,Tannerella forsythia
Serine,ser_L,virosa,Other,95.19046460200875,,1,Butyricimonas virosa
Uridine,uri,scardovii,Other,95.14849474279512,3.4337000207509396,2,Bifidobacterium scardovii
Phenylalanine,phe_L,aeruginosa,Other,95.14625646972256,,1,Pseudomonas aeruginosa
Isoleucine,ile_L,propinquum,Amino Acid,95.13457236467488,,1,Corynebacterium propinquum
Uracil,ura,graevenitzii,Other,94.96606532062707,2.1342622007034957,6,Actinomyces graevenitzii
Alanine,ala_L,dentocariosa,Amino Acid,94.93825786784895,4.069794729104042,2,Rothia dentocariosa
Acetate,ac,pallens,SCFA,94.93823783983458,,1,Prevotella pallens
Guanosine,gsn,nanceiensis,Other,94.8576087118588,,1,Prevotella nanceiensis
Formate,for,intestini,Other,94.84803078230544,,1,Murimonas intestini
Hydrogen Sulfide,h2s,morganii,Other,94.78867041088373,,1,Morganella morganii
Proton,h,davisae,Other,94.75893135800766,,1,Cedecea davisae
Isoleucine,ile_L,cristatus,Amino Acid,94.73684210525538,,1,Streptococcus cristatus
Glycine,gly,succinatiphilus,Amino Acid,94.70306413533199,1.6014330036066542,4,Dialister succinatiphilus
Arginine,arg_L,morganii,Polyamine,94.6525897953259,2.3207341422438246,2,Morganella morganii
