met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Fructose,fru,prausnitzii,Other,52.779743307606765,27.067320357504094,30,Faecalibacterium prausnitzii,True,False
Arginine,arg_L,faecis,Polyamine,52.6898248091065,31.461947865445985,25,Blautia_A faecis,False,True
Tetrahydrofolate,thf,bifidum,Other,52.13524540615239,45.44609988356838,2,Bifidobacterium bifidum,False,True
Ammonium,nh4,faecis,Other,52.048341770029296,31.605492367186553,32,Blautia_A faecis,False,True
Fumarate,fum,prausnitzii,Other,51.51732190789429,36.78023976281094,9,Faecalibacterium prausnitzii,True,False
Acetate,ac,intestini,SCFA,51.48519576577288,0.8316029252138397,8,Murimonas intestini,True,False
Alpha-Ketoglutarate,akg,onderdonkii,Other,51.40171098094617,37.5538392343245,32,Alistipes onderdonkii,True,False
Water,h2o,prausnitzii,Other,51.23018973508213,21.07364844753678,5,Faecalibacterium prausnitzii,True,False
Valine,val_L,intestini,Other,51.13740577193869,9.525272137889138,2,Murimonas intestini,True,False
Succinate,succ,faecis,Other,51.13428881352279,25.443999160566317,35,Blautia_A faecis,False,True
Aspartate,asp_L,wadsworthia,Amino Acid,50.43771807001892,24.41899320599372,13,Bilophila wadsworthia,False,True
Aspartate,asp_L,onderdonkii,Amino Acid,50.08257892541251,29.269006812263285,34,Alistipes onderdonkii,True,False
D-Lactate,lac_D,onderdonkii,Other,49.97670448503553,31.36867668101095,17,Alistipes onderdonkii,True,False
Acetate,ac,hadrus,SCFA,49.894212920386096,30.610753194233745,16,Anaerostipes hadrus,False,True
Tryptophan,trp_L,hadrus,Indole / Tryptophan,49.77548673348952,,1,Anaerostipes hadrus,False,True
Aspartate,asp_L,prausnitzii,Amino Acid,49.724802893493546,31.03687917783372,26,Faecalibacterium prausnitzii,True,False
Ammonium,nh4,bifidum,Other,49.58816120268307,23.516071851207478,4,Bifidobacterium bifidum,False,True
Ammonium,nh4,prausnitzii,Other,49.342402815253266,24.950097780987548,23,Faecalibacterium prausnitzii,True,False
D-Lactate,lac_D,hadrus,Other,49.142321578224816,27.033106050715087,21,Anaerostipes hadrus,False,True
Aspartate,asp_L,inulinivorans,Amino Acid,48.701963667137285,32.03511011015758,37,Roseburia inulinivorans,True,False
Ethanol,etoh,intestini,Other,48.64339105073393,17.85768005735083,9,Murimonas intestini,True,False
Asparagine,asn_L,inulinivorans,Other,48.53239122237776,20.931347734531283,5,Roseburia inulinivorans,True,False
Aspartate,asp_L,hadrus,Amino Acid,48.50356496581696,29.98856457577814,18,Anaerostipes hadrus,False,True
Cholate,cholate,hadrus,Bile Acid,48.12687954738268,20.18768370390941,7,Anaerostipes hadrus,False,True
Water,h2o,faecis,Other,48.04350722016842,30.114113144023456,15,Blautia_A faecis,False,True
Water,h2o,wadsworthia,Other,47.81128716584756,27.560765871566723,25,Bilophila wadsworthia,False,True
CO2,co2,bifidum,Other,47.746877816783105,27.995123132609162,9,Bifidobacterium bifidum,False,True
Water,h2o,intestinihominis,Other,47.71816107915473,23.298696202406884,27,Barnesiella intestinihominis,True,False
Glycine,gly,intestini,Amino Acid,47.54499451796466,37.70218588554588,8,Murimonas intestini,True,False
Alanine,ala_L,wadsworthia,Amino Acid,47.49129425060867,20.18047378268728,19,Bilophila wadsworthia,False,True
Acetaldehyde,acald,intestini,Other,47.289470527531456,20.21226676512767,4,Murimonas intestini,True,False
Proline,pro_L,wadsworthia,Amino Acid,47.00417033330925,29.48218606880216,31,Bilophila wadsworthia,False,True
GABA,4abut,onderdonkii,Other,46.96202997817171,41.8377756537711,2,Alistipes onderdonkii,True,False
Lysine,lys_L,bifidum,Amino Acid,46.73876408731933,39.26751513151824,11,Bifidobacterium bifidum,False,True
Lactate,lac_L,inulinivorans,Other,46.7057868117917,29.401519924745806,26,Roseburia inulinivorans,True,False
Butyrate,but,hadrus,SCFA,46.689256881861304,26.34497305465248,21,Anaerostipes hadrus,False,True
Adenine,ade,faecis,Other,46.11362902621868,31.020515008891454,15,Blautia_A faecis,False,True
Proton,h,onderdonkii,Other,45.88947527419769,29.69999857627479,10,Alistipes onderdonkii,True,False
Proton,h,prausnitzii,Other,45.70251121940484,37.391652595565155,3,Faecalibacterium prausnitzii,True,False
Deoxyadenosine,dad_2,faecis,Other,45.01829350399659,30.215881226959905,13,Blautia_A faecis,False,True
Glycerol-3-Phosphate,glyc3p,intestinihominis,Other,44.894728657401735,35.34187234046315,11,Barnesiella intestinihominis,True,False
Acetaldehyde,acald,prausnitzii,Other,44.88984173887913,27.49953859996167,13,Faecalibacterium prausnitzii,True,False
Lysine,lys_L,faecis,Amino Acid,44.846685447969314,29.477708471725713,6,Blautia_A faecis,False,True
N-Acetylglucosamine,acgam,prausnitzii,Other,44.78146330376501,15.36845625500406,2,Faecalibacterium prausnitzii,True,False
Lysine,lys_L,inulinivorans,Amino Acid,44.69321318419327,33.1123909452272,12,Roseburia inulinivorans,True,False
Glycine,gly,inulinivorans,Amino Acid,44.563001868725735,7.689076495845242,2,Roseburia inulinivorans,True,False
CO2,co2,faecis,Other,44.53073076511648,30.58221085558267,23,Blautia_A faecis,False,True
Asparagine,asn_L,hadrus,Other,44.44444444444438,,1,Anaerostipes hadrus,False,True
Glutamate,glu_L,hadrus,Amino Acid,44.44444444444437,,1,Anaerostipes hadrus,False,True
Formate,for,onderdonkii,Other,44.15879649097297,37.24355173803592,14,Alistipes onderdonkii,True,False
Ethanol,etoh,prausnitzii,Other,44.04469289394029,8.329129525311817,4,Faecalibacterium prausnitzii,True,False
Ethanol,etoh,inulinivorans,Other,43.74303253270106,25.834815345222836,39,Roseburia inulinivorans,True,False
Serine,ser_L,hadrus,Other,43.60513800970387,24.067962917950755,8,Anaerostipes hadrus,False,True
Water,h2o,hadrus,Other,43.52282616138272,31.554821387715236,14,Anaerostipes hadrus,False,True
Valine,val_L,faecis,Other,43.26157335009857,29.132231057879547,9,Blautia_A faecis,False,True
Proton,h,wadsworthia,Other,43.198746570623534,20.586658252535795,5,Bilophila wadsworthia,False,True
Proton,h,intestinihominis,Other,42.969736958514765,28.603520574867208,14,Barnesiella intestinihominis,True,False
CO2,co2,wadsworthia,Other,42.7435573350464,28.46891535957573,43,Bilophila wadsworthia,False,True
Valine,val_L,prausnitzii,Other,42.68459576022991,32.22177923103491,17,Faecalibacterium prausnitzii,True,False
Ammonium,nh4,wadsworthia,Other,42.21274726994293,21.36322672781315,12,Bilophila wadsworthia,False,True
12dhchol,12dhchol,prausnitzii,Other,42.11884129895439,25.644540495386696,43,Faecalibacterium prausnitzii,True,False
Acetaldehyde,acald,onderdonkii,Other,42.07100160037702,28.927357861130233,20,Alistipes onderdonkii,True,False
D-Lactate,lac_D,faecis,Other,42.009874032086785,30.547673247895183,17,Blautia_A faecis,False,True
Acetate,ac,inulinivorans,SCFA,41.864446087577065,32.27186206980735,10,Roseburia inulinivorans,True,False
Deoxyadenosine,dad_2,bifidum,Other,41.63811290110742,22.311503154582542,4,Bifidobacterium bifidum,False,True
Proton,h,hadrus,Other,40.74334836708504,27.34862949729894,48,Anaerostipes hadrus,False,True
Acetate,ac,onderdonkii,SCFA,40.32649920915306,30.119447140562123,12,Alistipes onderdonkii,True,False
Serine,ser_L,inulinivorans,Other,40.31925268747822,9.084187611687332,4,Roseburia inulinivorans,True,False
CO2,co2,hadrus,Other,40.15167204887929,20.8527064015213,30,Anaerostipes hadrus,False,True
Deoxyguanosine,dgsn,bifidum,Other,39.233951674527376,38.59609044824383,5,Bifidobacterium bifidum,False,True
CO2,co2,onderdonkii,Other,38.88280406249559,29.28011003677336,22,Alistipes onderdonkii,True,False
Malate,mal_L,intestini,Other,38.868075920254526,33.27802781842439,5,Murimonas intestini,True,False
Serine,ser_L,prausnitzii,Other,38.64276194598969,32.47656313693993,9,Faecalibacterium prausnitzii,True,False
Succinate,succ,hadrus,Other,38.63955936612267,21.453691428479008,23,Anaerostipes hadrus,False,True
Fumarate,fum,intestini,Other,38.58998146629714,32.96724405564951,3,Murimonas intestini,True,False
3mop,3mop,prausnitzii,Other,38.50240291957041,34.95346026621271,46,Faecalibacterium prausnitzii,True,False
Acetate,ac,prausnitzii,SCFA,38.49412630307984,30.3977249963035,5,Faecalibacterium prausnitzii,True,False
CO2,co2,prausnitzii,Other,38.41002337119978,23.63805475009808,12,Faecalibacterium prausnitzii,True,False
Butyrate,but,prausnitzii,SCFA,37.80219746312657,5.498283847770819,2,Faecalibacterium prausnitzii,True,False
Glutamine,gln_L,prausnitzii,Amino Acid,37.66667960758476,31.15373877279955,15,Faecalibacterium prausnitzii,True,False
Cysteine,cys_L,prausnitzii,Other,37.601992663875,24.300096053991812,56,Faecalibacterium prausnitzii,True,False
Tetradecanoate,ttdca,wadsworthia,Other,37.56729054429456,35.48159429270069,3,Bilophila wadsworthia,False,True
Leucine,leu_L,prausnitzii,Amino Acid,37.51838811275156,24.910996736362236,34,Faecalibacterium prausnitzii,True,False
Glucose,glc_D,prausnitzii,Other,37.511090617426255,23.12092856883595,22,Faecalibacterium prausnitzii,True,False
Ammonium,nh4,onderdonkii,Other,37.47012869428767,32.89447237862917,6,Alistipes onderdonkii,True,False
Acetaldehyde,acald,faecis,Other,36.72181011587329,24.992505126770705,9,Blautia_A faecis,False,True
Butyrate,but,inulinivorans,SCFA,36.491293515352226,22.996464901506467,20,Roseburia inulinivorans,True,False
Proton,h,intestini,Other,36.306391665055884,18.095365469014823,3,Murimonas intestini,True,False
Glutamate,glu_L,prausnitzii,Amino Acid,36.18273254417856,27.259245540265006,10,Faecalibacterium prausnitzii,True,False
D-Lactate,lac_D,inulinivorans,Other,36.10167813355119,25.868818604497164,19,Roseburia inulinivorans,True,False
Isoleucine,ile_L,prausnitzii,Amino Acid,36.0844446821786,35.72955994424138,45,Faecalibacterium prausnitzii,True,False
Acetaldehyde,acald,inulinivorans,Other,35.85393218215291,25.8872463331458,45,Roseburia inulinivorans,True,False
Phenylalanine,phe_L,wadsworthia,Other,35.819025426380854,26.881635435068233,14,Bilophila wadsworthia,False,True
12dhchol,12dhchol,hadrus,Other,34.40933822577687,22.693680183599103,18,Anaerostipes hadrus,False,True
Histidine,his_L,bifidum,Other,33.83711613729296,24.49191295329978,7,Bifidobacterium bifidum,False,True
Threonine,thr_L,prausnitzii,Amino Acid,33.66534303067442,24.90190842619805,60,Faecalibacterium prausnitzii,True,False
Water,h2o,inulinivorans,Other,33.584295907713084,30.11375069941615,36,Roseburia inulinivorans,True,False
Valine,val_L,onderdonkii,Other,33.4290979256817,31.26368633607639,11,Alistipes onderdonkii,True,False
Ammonium,nh4,inulinivorans,Other,33.210150237860745,18.460496750966698,11,Roseburia inulinivorans,True,False
12ppd_S,12ppd_S,bifidum,Other,32.920637906130416,29.101120204410094,3,Bifidobacterium bifidum,False,True
Glycerol-3-Phosphate,glyc3p,onderdonkii,Other,32.58964333623823,44.04594108595927,4,Alistipes onderdonkii,True,False
Proline,pro_L,intestini,Amino Acid,32.46228595104156,,1,Murimonas intestini,True,False
Deoxycytidine,dcyt,prausnitzii,Other,31.763732952986544,28.089200682816692,10,Faecalibacterium prausnitzii,True,False
Acetate,ac,wadsworthia,SCFA,31.724339689272558,26.726444676448402,6,Bilophila wadsworthia,False,True
Hydrogen Sulfide,h2s,prausnitzii,Other,31.598433505260914,31.45245751483556,6,Faecalibacterium prausnitzii,True,False
Cysteine,cys_L,hadrus,Other,31.54669518351762,22.84944959022451,17,Anaerostipes hadrus,False,True
Valine,val_L,hadrus,Other,31.492154815468957,23.479569517515863,49,Anaerostipes hadrus,False,True
