Species,Metabolite,kegg_id,genus,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence,pathway
Dialister invisus,C00134_Putrescine,C00134,Dialister,False,False,True,True,False,False,False,2,Medium (2),Polyamine
Akkermansia muciniphila,"C00986_1,3-Diaminopropane",C00986,Akkermansia,False,False,True,True,False,False,False,2,Medium (2),Other
Ruminococcus_E bromii_B,C00134_Putrescine,C00134,Ruminococcus,False,True,False,True,False,False,False,2,Medium (2),Polyamine
Roseburia inulinivorans,C00398_Tryptamine,C00398,Roseburia,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Lachnospira rogosae_A,C00398_Tryptamine,C00398,Lachnospira,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Lachnospira sp000436475,C00398_Tryptamine,C00398,Lachnospira,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Lachnospira sp000436475,C02714_N-Acetylputrescine,C02714,Lachnospira,True,False,False,False,True,False,False,2,Medium (2),Other
Gemmiger formicilis,C08277_Sebacate,C08277,Gemmiger,False,True,False,False,True,False,False,2,Medium (2),Other
UBA5905 sp900763035,C08277_Sebacate,C08277,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other
Faecalibacterium prausnitzii_C,C05332_Phenethylamine,C05332,Faecalibacterium,True,True,False,False,False,False,False,2,Medium (2),Other
Avispirillum faecium,C02714_N-Acetylputrescine,C02714,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other
Gemmiger qucibialis,C05332_Phenethylamine,C05332,Gemmiger,True,True,False,False,False,False,False,2,Medium (2),Other
Faecalibacterium prausnitzii_C,C00398_Tryptamine,C00398,Faecalibacterium,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Faecalibacterium prausnitzii_D,C05332_Phenethylamine,C05332,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp003525905,C02656_Pimelate,C02656,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C00803_Valerate,C00803,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Gemmiger qucibialis,C00483_Tyramine,C00483,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-103 sp900543625,C02678_Dodecanedioate,C02678,CAG-103,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Faecousia sp003525905,C05629_3-Phenylpropionate,C05629,Faecousia,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Clostridium_A leptum,C00431_5-Aminovalerate,C00431,Clostridium,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C00695_Cholate,C00695,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Bile Acid
UBA3855 sp017460955,C08277_Sebacate,C08277,UBA3855,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor intestinalis,C00134_Putrescine,C00134,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Faecalibacterium sp900539945,C00398_Tryptamine,C00398,Faecalibacterium,False,True,False,False,False,False,False,1,Low-Medium (1),Indole / Tryptophan
Alistipes putredinis,C08277_Sebacate,C08277,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C00431_5-Aminovalerate,C00431,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp900552015,"C03283_2,4-Diaminobutyrate",C03283,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Agathobacter rectalis,C05332_Phenethylamine,C05332,Agathobacter,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor intestinalis,C00803_Valerate,C00803,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C01046_N-Methylglutamate,C01046,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
CAG-170 sp000432135,C00134_Putrescine,C00134,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
ER4 sp000765235,C00055_CMP,C00055,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
Alistipes onderdonkii,C08277_Sebacate,C08277,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C00134_Putrescine,C00134,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
ER4 sp000765235,C02656_Pimelate,C02656,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C06103_6-Hydroxyhexanoate,C06103,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor intestinalis,C00364_dTMP,C00364,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_E bromii_B,C02678_Dodecanedioate,C02678,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor intestinalis,C00055_CMP,C00055,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Nucleotide
CAG-170 sp000432135,"C03283_2,4-Diaminobutyrate",C03283,CAG-170,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Gemmiger sp900540595,C05332_Phenethylamine,C05332,Gemmiger,False,True,False,False,False,False,False,1,Low-Medium (1),Other
ER4 sp000765235,C02714_N-Acetylputrescine,C02714,ER4,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Ruminococcus_C callidus,C05332_Phenethylamine,C05332,Ruminococcus,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Acetatifactor sp003447295,C00134_Putrescine,C00134,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Polyamine
Acetatifactor intestinalis,C00431_5-Aminovalerate,C00431,Acetatifactor,False,True,False,False,False,False,False,1,Low-Medium (1),Other
Alistipes shahii,C17714_Heptanoate,C17714,Alistipes,False,True,False,False,False,False,False,1,Low-Medium (1),Other
